2025_09_08_11_06_13_498,0,0,0,0,0.200275,0.1583414,0.05919167,-2.135483E-07,0.03135069,4.712397,0,-3.209483E-06,6.894246E-05,-1.177314E-07,-2.918432E-05,-0.0001563581,0.00109456
2025_09_08_11_06_13_547,0,0,0,0,0.2002766,0.1583422,0.05919157,7.580965E-06,0.0313507,4.712397,0,1.959654E-05,5.591798E-05,6.447734E-07,5.664469E-05,0.0003401781,-0.001005203
2025_09_08_11_06_13_599,0,0,0,0,0.2002785,0.1583431,0.05919141,7.474192E-06,0.03135063,4.712396,0,2.987932E-05,6.087764E-05,9.178005E-07,0.0002546863,4.022763E-05,0.004250157
2025_09_08_11_06_13_649,0,0,0,0,0.2002797,0.1583437,0.05919103,-1.601612E-06,0.03135033,4.712397,0,2.616784E-06,7.452987E-05,3.965888E-09,-0.0002258086,-0.0005163397,-0.001143544
2025_09_08_11_06_13_698,0,0,0,0,0.2002816,0.1583444,0.05919155,-5.018386E-06,0.03135058,4.712397,0,-1.579557E-05,6.549629E-05,-4.596642E-07,-4.191861E-05,0.0001817685,0.002850086
2025_09_08_11_06_13_735,0,0,0,0,0.200283,0.1583448,0.05919111,-7.474191E-07,0.03135028,4.712397,0,-8.199459E-06,7.969799E-05,-2.026464E-07,0.0001425401,0.0003098929,0.001826535
2025_09_08_11_06_13_782,0,0,0,0,0.2002841,0.1583453,0.05919112,6.40645E-07,0.03135028,4.712397,0,2.527158E-06,8.165264E-05,7.803381E-08,-6.144546E-06,-7.147258E-05,8.923597E-05
2025_09_08_11_06_13_815,0,0,0,0,0.2002849,0.1583457,0.05919101,-5.338708E-07,0.03135033,4.712397,0,1.657841E-06,7.00999E-05,7.060407E-08,-0.0002714907,9.319417E-05,-0.001144974
2025_09_08_11_06_13_866,0,0,0,0,0.2002864,0.1583463,0.05919123,-4.270966E-07,0.03135028,4.712397,0,2.345303E-06,8.857997E-05,4.734012E-08,-0.0003418809,-0.0001690212,-0.004720514
2025_09_08_11_06_13_897,0,0,0,0,0.2002876,0.1583467,0.0591915,4.270967E-07,0.03135047,4.712397,0,1.204957E-06,8.160416E-05,3.874241E-08,-2.706019E-05,-1.702454E-05,0.001617212
2025_09_08_11_06_13_947,0,0,0,0,0.2002891,0.1583473,0.0591912,-2.028709E-06,0.03135035,4.712397,0,7.680792E-07,8.939984E-05,2.391209E-08,0.0001758476,-6.321883E-06,-0.003392688
2025_09_08_11_06_13_999,0,0,0,0,0.2002905,0.1583479,0.05919125,2.349032E-06,0.03135031,4.712397,0,6.255636E-06,8.37863E-05,1.627375E-07,-0.0006313262,-0.0002439412,0.003017911
2025_09_08_11_06_14_035,0,0,0,0,0.2002916,0.1583482,0.05919126,-1.067742E-06,0.03135029,4.712397,0,-5.643757E-06,9.471216E-05,-1.457649E-07,-0.0002253073,0.0002347874,-0.0004169378
2025_09_08_11_06_14_082,0,0,0,0,0.2002933,0.1583488,0.05919142,-1.388064E-06,0.03135041,4.712397,0,-3.463792E-07,8.381355E-05,-1.78909E-08,0.0003750551,-0.0001536681,-0.008648636
2025_09_08_11_06_14_115,0,0,0,0,0.2002944,0.1583492,0.05919132,2.135483E-07,0.03135042,4.712397,0,-1.58538E-06,8.537739E-05,-4.763319E-08,0.0002187744,-1.987341E-05,0.003434876
2025_09_08_11_06_14_151,0,0,0,0,0.2002954,0.1583496,0.05919134,0,0.03135048,4.712397,0,-1.034947E-06,8.123284E-05,-6.398733E-08,-0.0001218095,-0.0002765759,-0.0004593366
2025_09_08_11_06_14_182,0,0,0,0,0.2002962,0.15835,0.05919119,-2.669354E-06,0.03135033,4.712397,0,-1.235672E-05,9.188928E-05,-3.549128E-07,0.0001649037,0.0001918854,-0.004672019
2025_09_08_11_06_14_233,0,0,0,0,0.2002976,0.1583506,0.05919132,-3.416774E-06,0.03135042,4.712397,0,-6.731163E-06,8.487744E-05,-2.297402E-07,0.0001433482,-0.0001475324,-0.003888352
2025_09_08_11_06_14_266,0,0,0,0,0.2002987,0.158351,0.05919145,1.174516E-06,0.03135058,4.712397,0,3.759909E-06,7.332259E-05,6.42794E-08,0.0002627385,-0.0003843873,-0.004376455
2025_09_08_11_06_14_316,0,0,0,0,0.2003001,0.1583516,0.0591914,-3.737096E-06,0.03135044,4.712397,0,-1.099549E-05,8.183267E-05,-3.606532E-07,-7.509743E-05,-0.0001306536,0.002101033
2025_09_08_11_06_14_366,0,0,0,0,0.2003015,0.1583522,0.0591912,2.882902E-06,0.03135028,4.712397,0,1.42848E-05,8.851265E-05,3.588944E-07,-0.0003029408,-0.0006506487,0.005637411
2025_09_08_11_06_14_398,0,0,0,0,0.2003023,0.1583525,0.05919109,-1.815161E-06,0.03135039,4.712397,0,-2.320849E-06,8.598962E-05,-6.938982E-08,-8.392089E-05,-1.390083E-05,0.001819437
2025_09_08_11_06_14_447,0,0,0,0,0.200304,0.1583531,0.05919136,-4.270967E-07,0.03135047,4.712397,0,-8.638672E-06,7.690742E-05,-2.372773E-07,-0.0002680026,0.0002309766,0.003822963
2025_09_08_11_06_14_498,0,0,0,0,0.2003055,0.1583537,0.05919121,1.708387E-06,0.03135041,4.712397,0,2.997658E-06,8.093626E-05,4.125566E-08,-4.983076E-05,-0.0003878099,0.0009122595
2025_09_08_11_06_14_547,0,0,0,0,0.2003071,0.1583542,0.05919139,-2.349032E-06,0.03135046,4.712397,0,-8.525742E-06,8.144605E-05,-2.568315E-07,0.0001167496,2.208429E-05,-4.850335E-05
